Index,Tile Size,Loop Order,User Time (s),System Time (s),Real Time (s)
75,32,i_tj_tk_tijk,0.33812899999999996,0.13105,0.46949195861816406
76,64,i_tj_tk_tijk,0.41263099999999997,0.135878,0.5487203598022461
77,128,i_tj_tk_tijk,0.29621,0.143101,0.43950462341308594
78,256,i_tj_tk_tijk,0.36202399999999996,0.12600799999999998,0.48830127716064453
79,8,i_tj_tk_tikj,0.17601899999999998,0.131014,0.3072478771209717
80,16,i_tj_tk_tikj,0.308431,0.13619,0.4448716640472412
81,32,i_tj_tk_tikj,0.416518,0.127852,0.5446641445159912
82,64,i_tj_tk_tikj,0.44587899999999997,0.128965,0.5750575065612793
83,128,i_tj_tk_tikj,0.48162,0.131168,0.6130125522613525
84,256,i_tj_tk_tikj,0.539627,0.141901,0.6817686557769775
85,8,i_tj_tk_tjik,0.163094,0.131075,0.2944753170013428
86,16,i_tj_tk_tjik,0.261785,0.13189199999999998,0.3939504623413086
87,32,i_tj_tk_tjik,0.34434499999999996,0.129129,0.4739513397216797
88,64,i_tj_tk_tjik,0.425365,0.121818,0.5473916530609131
89,128,i_tj_tk_tjik,0.35459599999999997,0.13322399999999998,0.4880218505859375
90,256,i_tj_tk_tjik,0.387055,0.134019,0.5212912559509277
91,8,i_tj_tk_tjki,0.262799,0.132898,0.3959074020385742
92,16,i_tj_tk_tjki,0.423251,0.146086,0.5695221424102783
93,32,i_tj_tk_tjki,0.635988,0.127997,0.7641973495483398
94,64,i_tj_tk_tjki,0.7955789999999999,0.12609099999999998,0.9218735694885254
95,128,i_tj_tk_tjki,0.904003,0.128,1.0321719646453857
96,256,i_tj_tk_tjki,0.97847,0.12906199999999998,1.1077632904052734
97,8,i_tj_tk_tkij,0.311865,0.133942,0.44602084159851074
98,16,i_tj_tk_tkij,0.455856,0.131958,0.5880885124206543
99,32,i_tj_tk_tkij,0.7249359999999999,0.126988,0.8523392677307129
100,64,i_tj_tk_tkij,0.793377,0.13106199999999998,0.9247002601623535
101,128,i_tj_tk_tkij,1.567572,0.13805,1.705909252166748
102,256,i_tj_tk_tkij,2.201226,0.138014,2.339409351348877
103,8,i_tj_tk_tkji,0.368675,0.122891,0.4918944835662842
104,16,i_tj_tk_tkji,0.48801799999999995,0.128004,0.6162154674530029
105,32,i_tj_tk_tkji,1.108776,0.14097099999999999,1.2499685287475586
106,64,i_tj_tk_tkji,0.966287,0.132039,1.0984950065612793
107,128,i_tj_tk_tkji,2.435293,0.12606599999999998,2.5615525245666504
108,256,i_tj_tk_tkji,2.199014,0.123,2.322124481201172
109,8,i_tk_tij_tjk,0.226067,0.12703699999999998,0.35332536697387695
110,16,i_tk_tij_tjk,0.359083,0.137031,0.4963264465332031
111,32,i_tk_tij_tjk,0.525123,0.13203099999999998,0.6573357582092285
112,64,i_tk_tij_tjk,0.499723,0.133925,0.6338300704956055
113,128,i_tk_tij_tjk,0.44726699999999997,0.125074,0.5725412368774414
114,256,i_tk_tij_tjk,0.36242199999999997,0.129793,0.49245238304138184
115,8,i_tk_tij_tkj,0.26397699999999996,0.130988,0.39515185356140137
116,16,i_tk_tij_tkj,0.347859,0.13494499999999998,0.48300957679748535
117,32,i_tk_tij_tkj,0.430846,0.13095299999999999,0.56201171875
118,64,i_tk_tij_tkj,0.468151,0.128041,0.5964400768280029
119,128,i_tk_tij_tkj,0.503717,0.120171,0.6242184638977051
120,256,i_tk_tij_tkj,0.5260929999999999,0.137285,0.6635432243347168
121,8,i_tk_tikj_tj,0.8791439999999999,0.137022,1.0163450241088867
122,16,i_tk_tikj_tj,0.897613,0.124084,1.0218732357025146
123,32,i_tk_tikj_tj,0.9027799999999999,0.130968,1.0339372158050537
124,64,i_tk_tikj_tj,0.89422,0.129031,1.0234160423278809
125,128,i_tk_tikj_tj,0.900092,0.12501199999999998,1.0252995491027832
126,256,i_tk_tikj_tj,0.88228,0.140044,1.022507667541504
127,8,i_tk_tj_tijk,0.190126,0.13308799999999998,0.3234279155731201
128,16,i_tk_tj_tijk,0.352618,0.12886,0.4816782474517822
129,32,i_tk_tj_tijk,0.446061,0.130017,0.5763492584228516
130,64,i_tk_tj_tijk,0.476325,0.134091,0.6106271743774414
131,128,i_tk_tj_tijk,0.431176,0.134054,0.5654394626617432
132,256,i_tk_tj_tijk,0.352972,0.134989,0.48821544647216797
133,8,i_tk_tj_tikj,0.26498099999999997,0.127991,0.39325904846191406
134,16,i_tk_tj_tikj,0.346074,0.14103,0.4873061180114746
135,32,i_tk_tj_tikj,0.419288,0.139095,0.5586175918579102
136,64,i_tk_tj_tikj,0.465064,0.132018,0.5973401069641113
137,128,i_tk_tj_tikj,0.48867099999999997,0.128913,0.6178333759307861
138,256,i_tk_tj_tikj,0.536538,0.13713699999999998,0.6738917827606201
139,8,i_tk_tj_tjik,0.235061,0.13003399999999998,0.3653433322906494
140,16,i_tk_tj_tjik,0.37382099999999996,0.130937,0.5049784183502197
141,32,i_tk_tj_tjik,0.486073,0.13602,0.6223044395446777
142,64,i_tk_tj_tjik,0.491977,0.14599299999999998,0.6381940841674805
143,128,i_tk_tj_tjik,0.467603,0.132887,0.6007347106933594
144,256,i_tk_tj_tjik,0.372494,0.135815,0.5085492134094238
145,8,i_tk_tj_tjki,0.317355,0.126742,0.44437456130981445
146,16,i_tk_tj_tjki,0.556129,0.128029,0.6843886375427246
147,32,i_tk_tj_tjki,0.6877759999999999,0.139954,0.827988862991333
148,64,i_tk_tj_tjki,0.877554,0.125936,1.003675937652588
149,128,i_tk_tj_tjki,0.829882,0.13698,0.9670555591583252
150,256,i_tk_tj_tjki,1.340781,0.134978,1.4760379791259766
151,8,i_tk_tj_tkij,0.4579,0.129971,0.5881345272064209
